GammaVision Nuclide Library Suspect.Lib                         Page:   1
       29.78keV         28.6%            -X------
       29.46keV         15.4%            -X------
       33.60keV         10.2%            -X------
      163.93keV         1.95%            G-------

   Xe-133M         52.56 Hrs.     0.1000 TFI-----
       29.78keV         29.8%            -X------
       29.46keV         16.1%            -X------
       33.60keV         10.6%            -X------
      233.22keV           10%            G-------

    Cs-134         2.065 Yrs.     0.1000 TFI-----
      604.72keV        97.62%            G-------
      795.86keV        85.53%            G-------
      569.33keV        15.38%            G-------
      801.95keV         8.69%            G-------
      563.25keV         8.35%            G-------
     1365.19keV        3.014%            G-------
     1167.97keV        1.789%            G-------
      475.36keV        1.486%            G-------
     1038.61keV        0.988%            G-------
       32.19keV        0.441%            -X------
       31.82keV        0.239%            -X------
       36.40keV         0.16%            -X------
      242.74keV        0.027%            G-------
      326.59keV       0.0161%            G-------
      232.60keV      0.00055%            G-------
      847.00keV       0.0003%            G-------
       29.78keV     0.000118%            -X------

    Cs-136         13.16 Days     0.1000 -F------
      818.51keV         99.7%            G-------
     1048.07keV           80%            G-------
      340.55keV         42.2%            G-------
     1235.36keV           20%            G-------
      273.65keV         11.1%            G-------
      176.60keV           10%            G-------
       32.19keV         5.84%            -X------
      153.25keV         5.75%            G-------
       86.36keV         5.18%            G-------
       66.88keV         4.79%            G-------
      163.92keV         3.39%            G-------
       31.82keV         3.17%            -X------
       36.40keV         2.13%            -X------
      507.19keV         0.97%            G-------
      319.91keV          0.5%            G-------
      166.58keV         0.37%            G-------
      187.29keV         0.36%            G-------
      109.68keV         0.21%            G-------
     1538.09keV          0.1%            G-------

    Cs-137         30.07 Yrs.     0.1000 TFI-----
      661.66keV         85.1%            G-------
       32.19keV          3.6%            -X------
       31.82keV         1.96%            -X------
       36.40keV         1.32%            -X------

    Cs-138         33.41 Min.     0.1000 -FI-----
     1435.86keV         76.3%            G-------
      462.80keV         30.7%            G-------
     1009.78keV         29.8%            G-------
     2218.00keV         15.2%            G-------
      547.00keV        10.76%            G-------
     2639.59keV         7.63%            G-------
      871.80keV         5.11%            G-------
      408.98keV         4.66%            G-------
      227.76keV         1.51%            G-------
      138.10keV         1.49%            G-------
     1147.22keV         1.24%            G-------
     1343.59keV         1.14%            G-------
     1445.00keV         0.97%            G-------
       32.19keV         0.72%            -X------
      191.96keV          0.5%            G-------
      516.74keV         0.43%            G-------
      421.59keV        0.427%            G-------
     1203.69keV          0.4%            G-------
       31.82keV         0.39%            -X------
     1415.68keV         0.37%            G-------

    Ba-133         10.51 Yrs.     0.1000 TF------
       30.97keV         64.9%            -X------
      356.02keV        62.05%            G-------
       30.63keV         35.1%            -X------
       81.00keV         34.1%            G-------
       35.00keV         23.3%            -X------
      302.85keV        18.33%            G-------
      383.85keV         8.94%            G-------
      276.40keV        7.164%            G-------
       79.62keV         2.62%            G-------
       53.16keV        2.199%            G-------
      160.61keV        0.645%            G-------
      223.23keV         0.45%            G-------

    Ba-139         83.06 Min.     0.1000 TFI-----
      165.86keV           24%            G-------
       33.44keV          2.4%            -X------
       33.03keV         1.31%            -X------
       37.80keV         0.89%            -X------
     1420.50keV         0.26%            G-------
     1254.70keV        0.026%            G-------
     1310.60keV      0.01592%            G-------
     1090.80keV     0.008091%            G-------
     1219.10keV     0.003915%            G-------
     1215.50keV     0.003132%            G-------
     1370.50keV     0.002949%            G-------
     1256.70keV     0.002688%            G-------
     1683.10keV     0.002558%            G-------
     1536.30keV     0.002114%            G-------
     1595.30keV     0.002062%            G-------
     1476.30keV     0.001592%            G-------
     1578.20keV     0.000522%            G-------
     1053.00keV     0.000313%            G-------
     1691.20keV     0.000287%            G-------

    Ba-140         12.75 Days     0.1000 --I-----
      537.26keV        24.39%            G-------
       29.97keV         14.1%            G-------
      162.66keV         6.22%            G-------
      304.85keV         4.29%            G-------
      423.72keV         3.15%            G-------
      437.58keV        1.929%            G-------
       13.85keV         1.22%            G-------
       33.44keV         0.81%            -X------
       33.03keV        0.442%            -X------
       37.80keV        0.299%            -X------
      132.69keV        0.202%            G-------
      118.84keV        0.061%            G-------
      113.51keV       0.0161%            G-------
      418.44keV     0.003659%            G-------
      551.08keV     0.003122%            G-------
      467.50keV     0.000976%            G-------
      183.83keV     0.000976%            G-------
       43.80keV     0.000976%            G-------
      699.89keV     0.000829%            G-------

    La-140         40.27 Hrs.     0.1000 TFI-----
     1596.21keV         95.4%            G-------
      487.02keV         45.5%            G-------
      815.77keV        23.28%            G-------
      328.76keV         20.3%            G-------
      925.19keV          6.9%            G-------
      867.85keV          5.5%            G-------
      751.64keV         4.33%            G-------
     2521.40keV         3.46%            G-------
      432.49keV          2.9%            G-------
      919.55keV         2.66%            G-------
       34.72keV         0.95%            -X------
     2347.88keV         0.85%            G-------
       34.28keV         0.52%            -X------
      950.99keV        0.519%            G-------
      131.12keV        0.467%            G-------
      266.54keV        0.466%            G-------
      241.93keV        0.414%            G-------
       39.30keV         0.36%            -X------
      109.42keV        0.219%            G-------

    Ce-139         137.6 Days     0.1000 TF------
      165.85keV       79.886%            G-------
       33.44keV         42.7%            -X------
       33.03keV         23.2%            -X------
       37.80keV         15.7%            -X------

    Ce-141          32.5 Days     0.1000 TFI-----
      145.44keV         48.2%            G-------
       36.03keV          8.9%            -X------
       35.55keV         4.86%            -X------
       40.70keV         3.35%            -X------

    Ce-143         33.04 Hrs.     0.1000 TFI-----
      293.27keV         42.8%            G-------
       36.03keV         32.3%            -X------
       35.55keV         17.7%            -X------
       40.70keV         12.2%            -X------
       57.36keV         11.7%            G-------
      664.57keV         5.69%            G-------
      721.93keV         5.39%            G-------
      350.62keV         3.23%            G-------
      490.37keV         2.16%            G-------
      231.55keV         2.05%            G-------
      880.46keV        1.031%            G-------
     1103.25keV        0.415%            G-------
      587.20keV        0.267%            G-------
      433.00keV        0.159%            G-------
      139.74keV        0.077%            G-------
     1002.85keV      0.07533%            G-------
      447.45keV         0.06%            G-------
      497.81keV        0.045%            G-------
     1060.22keV      0.03638%            G-------

    Ce-144         284.9 Days     0.1000 --I-----
      133.51keV        11.09%            G-------
       36.03keV         4.53%            -X------
       35.55keV         2.47%            -X------
       40.70keV          1.7%            -X------
       80.12keV         1.36%            G-------
       40.98keV        0.257%            G-------
       33.57keV          0.2%            G-------
       53.40keV          0.1%            G-------
       99.96keV         0.04%            G-------
       59.03keV     0.000976%            G-------

    Pr-144         17.28 Min.     0.1000 -FI-----
      696.51keV        1.342%            G-------
     2185.66keV        0.694%            G-------
     1489.16keV        0.278%            G-------
